id,historico_id,totais,n1_ano,n2_ano,n3_ano,n4_ano,n5_ano,n6_ano,n7_ano,n8_ano,n9_ano,n1_serie,n2_serie,n3_serie
4222,650,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
4223,650,Frequência,100%,12%,-,-,-,-,-,-,-,-,-,-
4224,650,"Resultado Final",AP,TRAN,-,-,-,-,-,-,-,-,-,-
4228,651,"Dias Letivos",-,-,-,-,-,-,-,-,-,-,-,-
4229,651,"Carga Horária",-,-,-,-,-,-,-,-,-,-,-,-
4230,651,"Frequência %",-,-,-,-,-,-,-,-,-,-,-,-
4231,651,"Resultado Final",-,-,-,-,-,-,-,-,-,-,-,-
4235,652,"Dias Letivos",200,200,200,-,-,-,-,-,-,-,-,-
4236,652,"Carga Horária",1000,1000,1000,-,-,-,-,-,-,-,-,-
4237,652,Frequência,100%,97%,80%,-,-,-,-,-,-,-,-,-
4238,652,"Resultado Final",AP,AP,AP,-,-,-,-,-,-,-,-,-
4242,653,"Dias Letivos",200,200,200,-,-,-,-,-,-,-,-,-
4243,653,"Carga Horária",1000,1000,1000,-,-,-,-,-,-,-,-,-
4244,653,Frequência,100%,98%,79%,-,-,-,-,-,-,-,-,-
4245,653,"Resultado Final",AP,AP,AP,-,-,-,-,-,-,-,-,-
4249,654,"Dias Letivos",-,-,200,200,200,-,-,-,-,-,-,-
4250,654,"Dias Letivos",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4251,654,Frequência,-,-,96%,92%,87%,-,-,-,-,-,-,-
4252,654,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4256,655,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
4257,655,"Carga Horária",1000,1000,1000,1000,1000,1000,-,-,-,-,-,-
4258,655,Frequência,98%,98%,98%,98%,92%,90%,-,-,-,-,-,-
4259,655,"Resultado Final",AP,AP,AP,AP,AP,AP,-,-,-,-,-,-
4260,656,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4261,656,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4262,656,Frequência,97%,99%,88%,95%,80%,-,-,-,-,-,-,-
4263,656,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4267,657,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4268,657,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4269,657,Frequência,100%,100%,100%,92%,95%,94%,60%,-,-,-,-,-
4270,657,"Resultado Final",AP,AP,AP,AP,AP,AP,TRAN,-,-,-,-,-
4271,658,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4272,658,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4273,658,Frequência,98%,98%,97%,91%,99%,96%,81%,-,-,-,-,-
4274,658,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
4278,659,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4279,659,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4280,659,Frequência,95%,100%,98%,99%,97%,-,-,-,-,-,-,-
4281,659,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4285,660,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
4286,660,"Carga Horária",1000,900,900,1000,1000,1000,-,-,-,-,-,-
4287,660,Frequência,-,-,-,97%,96%,96%,-,-,-,-,-,-
4288,660,"Resultado Final",AP,AP,AP,AP,AP,AP,-,-,-,-,-,-
4292,661,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,-,-
4293,661,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,-,-
4294,661,Frequência,98%,100%,97%,94%,99%,97%,97%,98%,93%,80%,-,-
4295,661,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,TRAN,-,-
4299,662,"Dias Letivos",200,200,200,-,-,-,-,-,-,-,-,-
4300,662,"Carga Horária",800,800,1000,-,-,-,-,-,-,-,-,-
4301,662,Frequência,94%,84%,75%,-,-,-,-,-,-,-,-,-
4302,662,"Resultado Final",AP,AP,AP,-,-,-,-,-,-,-,-,-
4303,663,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4304,663,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4305,663,Frequência,100%,100%,99%,95%,95%,95%,93%,95%,84%,-,-,-
4306,663,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4310,664,"Dias Letivos",200,200,200,200,200,200,200,-,-,200,200,200
4311,664,"Carga Horária",1000,1000,1000,1000,900,1000,1000,-,-,1040,1040,1040
4312,664,Frequência,-,-,-,-,-,93%,93%,-,-,91%,93%,93%
4313,664,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4317,665,"Dias Letivos",200,200,200,200,200,200,200,20,200,200,200,200
4318,665,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,1040
4319,665,Frequência,100%,98%,98%,96%,94%,94%,90%,98%,97%,98%,94%,89%
4320,665,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4324,666,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4325,666,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
4326,666,Frequência,100%,100%,97%,92%,96%,97%,99%,97%,95%,92%,90%,92%
4327,666,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4331,667,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4332,667,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
4333,667,Frequência,99%,100%,100%,98%,95%,96%,97%,100%,99%,99%,97%,98%
4334,667,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4338,668,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4339,668,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,1040
4340,668,Frequência,85%,82%,76%,80%,86%,79%,75%,90%,88%,89%,78%,87%
4341,668,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4345,669,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4346,669,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,1040
4347,669,Frequência,100%,89%,95%,97%,99%,88%,81%,99%,99%,99%,93%,90%
4348,669,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4352,670,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4353,670,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,1040
4354,670,Frequência,100%,-,-,-,-,98%,98%,98%,99%,98%,99%,97%
4355,670,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4359,671,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4360,671,"Carga Horária",900,900,900,900,900,1000,1000,1000,1000,-,-,-
4361,671,Frequência,-,-,-,-,-,96%,98%,75%,75%,-,-,-
4362,671,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4366,673,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,-,-
4367,673,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,-,-
4368,673,Frequência,96%,85%,85%,97%,93%,98%,100%,99%,100%,99%,-,-
4369,673,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-
4373,674,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
4374,674,"Carga Horária",800,1000,1000,1000,1000,1000,-,-,-,-,-,-
4375,674,Frequência,92%,98%,91%-,92%,98%,92%,-,-,-,-,-,-
4376,674,"Resultado Final",AP,AP,AP,AP,AP,AP,-,-,-,-,-,-
4380,675,"Dias Letivos",200,200,200,-,-,-,-,-,-,-,-,-
4381,675,"Carga Horária",1000,1000,1000,-,-,-,-,-,-,-,-,-
4382,675,Frequência,100%,92%,94%,-,-,-,-,-,-,-,-,-
4383,675,"Resultado Final",AP,AP,AP,-,-,-,-,-,-,-,-,-
4387,676,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,-,-
4388,676,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-
4389,676,Frequência,-,-,-,81%,93%,97%,89%,94%,75%,52%,-,-
4390,676,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,REP,-,-
4394,677,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4395,677,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4396,677,Frequência,96%,-,-,-,-,-,-,-,-,-,-,-
4397,677,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
4401,678,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4402,678,"Carga Horária",900,900,900,900,900,1000,1000,1000,1000,1040,1040,1040
4403,678,Frequência,-,-,-,-,-,91%,93%,99%,96%,96%,98%,92%
4404,678,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4408,679,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4409,679,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4410,679,Frequência,90%,98%,98%,98%,92%,95%,97%,96%,95%,-,-,-
4411,679,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4415,680,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4416,680,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4417,680,Frequência,100%,-,-,-,-,-,-,-,-,-,-,-
4418,680,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
